latitude,longitude,walkscore,bikescore,transitscore
44.90398,-92.92978,5,NaN,None
44.87340,-92.92227,0,NaN,None
44.92223,-92.89806,8,NaN,None
44.91506,-92.89267,5,NaN,None
44.92085,-92.89041,11,NaN,None
44.91062,-93.18199,42,40.0,None
44.93054,-93.16803,71,68.0,None
44.98407,-93.16662,62,58.0,None
44.94303,-93.12912,87,67.0,None
44.97125,-93.11116,62,51.0,None
44.97045,-93.10829,67,53.0,None
44.94099,-93.10420,88,74.0,None
44.95747,-93.07893,71,70.0,None
44.97092,-93.07815,76,52.0,None
44.97863,-93.07637,73,52.0,None
45.02799,-93.06003,1,NaN,None
44.95020,-93.05240,51,69.0,None
44.95017,-93.05116,46,68.0,None
45.01903,-93.04742,17,NaN,None
44.96484,-93.02701,47,46.0,None
44.98309,-93.01988,48,61.0,None
44.93986,-93.00737,20,60.0,None
44.93060,-93.00680,19,46.0,None
45.00148,-92.98375,32,NaN,None
44.94710,-92.97874,18,NaN,None
45.01831,-92.96770,9,NaN,None
44.97286,-92.95483,22,NaN,None
44.97110,-92.95426,28,NaN,None
45.02115,-92.92398,0,NaN,None
44.94582,-92.91872,53,NaN,None
44.90480,-92.89828,0,NaN,None
44.93782,-93.15490,74,73.0,None
44.94671,-93.15357,67,81.0,None
44.98438,-93.13328,26,47.0,None
44.97985,-93.11216,47,48.0,None
44.92574,-93.10426,55,60.0,None
44.97363,-93.10235,64,57.0,None
44.98127,-93.10151,52,53.0,None
44.92803,-93.08154,75,40.0,None
44.97595,-93.05291,61,72.0,None
44.96026,-93.02518,48,55.0,None
44.96283,-93.01247,32,62.0,None
44.96607,-93.00811,39,61.0,None
44.94364,-93.00621,25,66.0,None
44.92292,-93.00493,12,33.0,None
44.96296,-92.98715,40,NaN,None
44.93707,-92.97908,28,NaN,None
44.98004,-92.95776,2,NaN,None
44.93393,-92.92136,18,NaN,None
44.96324,-93.17652,71,83.0,None
44.96680,-93.15905,56,61.0,None
44.92172,-93.15512,62,56.0,None
44.91630,-93.14297,50,73.0,None
44.97135,-93.14098,41,68.0,None
44.94144,-93.12958,89,69.0,None
44.93844,-93.10138,66,67.0,None
44.96877,-93.08128,70,72.0,None
44.99417,-93.07395,15,NaN,None
44.99459,-93.06797,14,NaN,None
44.97040,-93.06286,79,71.0,None
44.96312,-93.05696,64,64.0,None
44.96631,-93.04709,45,67.0,None
44.99092,-93.04321,32,47.0,None
45.03286,-93.03138,55,NaN,None
44.98273,-93.02404,56,60.0,None
45.00075,-92.98351,33,NaN,None
44.96227,-92.98142,45,NaN,None
45.02023,-92.98025,34,NaN,None
45.02525,-92.95610,0,NaN,None
45.01867,-92.95100,0,NaN,None
44.97557,-92.94832,8,NaN,None
44.95406,-92.92174,5,NaN,None
44.90669,-92.91370,5,NaN,None
44.95766,-92.90878,0,NaN,None
44.90794,-92.88414,7,NaN,None
45.00585,-92.87286,32,NaN,None
44.96490,-93.20711,73,80.0,None
44.95344,-93.19030,49,64.0,None
44.95820,-93.16561,85,81.0,None
44.94297,-93.16367,76,77.0,None
44.93616,-93.16128,66,68.0,None
44.96728,-93.15619,49,58.0,None
44.93310,-93.15238,55,67.0,None
44.97851,-93.12792,33,68.0,None
44.94150,-93.11482,70,63.0,None
44.94888,-93.11476,79,67.0,None
44.92466,-93.07271,43,38.0,None
44.97025,-93.05543,54,60.0,None
44.99773,-93.03713,26,NaN,None
44.96638,-93.00538,37,58.0,None
44.96125,-93.00504,43,64.0,None
44.97847,-92.98840,19,NaN,None
44.90005,-92.96769,10,NaN,None
45.01960,-92.96516,10,NaN,None
44.89533,-92.96373,8,NaN,None
44.96798,-92.95093,29,NaN,None
44.89950,-92.93240,6,NaN,None
44.94251,-92.89896,53,NaN,None
44.92920,-92.87679,1,NaN,None
44.92411,-92.87554,1,NaN,None
44.90266,-93.17501,64,55.0,None
44.95090,-93.16192,75,79.0,None
44.93635,-93.14423,81,69.0,None
44.93897,-93.13951,84,70.0,None
44.97683,-93.11497,49,54.0,None
44.92248,-93.08206,52,36.0,None
44.92933,-93.07282,65,50.0,None
44.92323,-93.06871,23,22.0,None
44.97553,-93.05212,61,72.0,None
45.01828,-93.02657,22,NaN,None
44.89707,-92.95979,4,NaN,None
45.02310,-92.95530,1,NaN,None
44.98826,-92.95217,3,NaN,None
45.01418,-92.95074,0,NaN,None
44.96100,-92.93057,20,NaN,None
44.90741,-92.91389,4,NaN,None
44.91708,-92.88739,11,NaN,None
44.89552,-92.88694,1,NaN,None
44.90576,-93.18253,35,58.0,None
44.94730,-93.17335,79,78.0,None
44.91535,-93.14685,49,60.0,None
44.96074,-93.14623,61,65.0,None
44.96206,-93.12634,75,74.0,None
44.92676,-93.10057,58,63.0,None
44.97487,-93.09958,57,65.0,None
44.97401,-93.09799,53,69.0,None
44.98474,-93.08650,30,68.0,None
44.92212,-93.08410,46,34.0,None
44.99045,-93.07378,23,47.0,None
44.98027,-93.06831,72,59.0,None
44.96921,-93.06503,81,73.0,None
44.97190,-93.05963,69,61.0,None
45.01781,-93.05915,16,NaN,None
44.98736,-93.02925,67,57.0,None
44.98736,-93.02864,70,58.0,None
44.95777,-93.02851,46,47.0,None
44.94540,-93.01672,43,63.0,None
44.96630,-92.97287,25,NaN,None
44.96337,-92.97123,42,NaN,None
45.00209,-92.96927,10,NaN,None
44.98066,-92.96842,3,NaN,None
44.98915,-92.96707,12,NaN,None
45.01904,-92.96674,9,NaN,None
44.89179,-92.95467,4,NaN,None
44.92752,-92.94719,7,NaN,None
44.89413,-92.93563,4,NaN,None
44.95223,-92.92176,14,NaN,None
44.91729,-92.90061,17,NaN,None
44.92320,-93.19136,69,77.0,None
44.92561,-93.16721,66,64.0,None
44.93800,-93.16135,69,72.0,None
44.96603,-93.16069,64,67.0,None
44.96221,-93.16035,70,74.0,None
44.97160,-93.14616,43,74.0,None
44.94088,-93.12834,89,69.0,None
44.97372,-93.11218,60,53.0,None
44.98497,-93.10726,67,56.0,None
44.96158,-93.08318,51,64.0,None
44.93784,-93.02057,8,37.0,None
44.96370,-93.00708,41,63.0,None
44.90833,-92.97601,21,NaN,None
44.98916,-92.96830,10,NaN,None
44.91003,-92.94506,9,NaN,None
44.93984,-92.94421,52,NaN,None
44.92757,-92.92197,6,NaN,None
44.95460,-92.92157,0,NaN,None
44.91777,-92.89256,9,NaN,None
44.93904,-92.88848,15,NaN,None
44.91322,-93.18289,65,51.0,None
44.93799,-93.17768,79,72.0,None
44.96406,-93.16699,82,76.0,None
44.96928,-93.12447,52,72.0,None
44.92744,-93.07526,60,45.0,None
